,PostalCode,Bedrooms,CheaperRent,MedianRent,HigherRent
0,2000,-1,617,770,1050
1,2000,0,528,610,676
2,2000,1,559,680,800
3,2000,2,1000,1150,1300
4,2000,3,1425,1695,2050
5,2000,-1,895,1100,1350
6,2000,2,1038,1150,1358
7,2000,-1,529,579,671
8,2000,1,529,579,669
9,2000,-1,750,950,1200
10,2000,0,570,640,693
11,2000,1,700,800,900
12,2000,2,1000,1150,1300
13,2000,3,1480,1700,2000
14,2007,-1,369,409,600
15,2007,0,414,475,596
16,2007,1,369,389,529
17,2007,2,800,920,1100
18,2007,3,1163,1300,1450
19,2007,-1,630,750,881
20,2007,-1,369,385,429
21,2007,1,369,385,429
22,2007,-1,550,675,823
23,2007,1,510,600,680
24,2007,2,800,920,1100
25,2008,-1,549,650,779
26,2008,0,400,450,525
27,2008,1,549,639,729
28,2008,2,845,900,1100
29,2008,3,1090,1250,1400
30,2008,-1,611,850,1116
31,2008,1,600,600,671
32,2008,-1,425,569,679
33,2008,1,425,569,679
34,2008,-1,678,950,1005
35,2008,-1,617,730,845
36,2008,0,420,450,730
37,2008,1,608,684,800
38,2008,2,845,900,1121
39,2008,3,1250,1400,1500
40,2009,-1,700,850,1000
41,2009,1,620,660,725
42,2009,2,850,900,1000
43,2009,3,1180,1400,1605
44,2009,-1,710,870,1100
45,2009,-1,363,750,830
46,2009,-1,700,850,1000
47,2009,1,621,668,724
48,2009,2,850,900,1000
49,2009,3,1240,1425,1700
50,2010,-1,570,720,900
51,2010,0,360,450,520
52,2010,1,525,650,750
53,2010,2,800,900,1075
54,2010,3,1100,1200,1400
55,2010,4,1250,1420,1600
56,2010,-1,810,1000,1300
57,2010,1,428,575,795
58,2010,2,808,888,988
59,2010,3,1095,1200,1400
60,2010,4,1250,1420,1600
61,2010,-1,69,111,475
62,2010,0,61,73,108
63,2010,-1,888,1100,1213
64,2010,2,831,900,1106
65,2010,3,1100,1175,1225
66,2010,-1,560,695,850
67,2010,0,404,458,539
68,2010,1,548,650,750
69,2010,2,800,900,1100
70,2010,3,1100,1300,1600
71,2011,-1,475,620,830
72,2011,0,400,450,480
73,2011,1,495,595,710
74,2011,2,850,975,1150
75,2011,3,990,1200,1500
76,2011,-1,530,838,960
77,2011,1,500,600,804
78,2011,-1,60,65,460
79,2011,-1,480,605,820
80,2011,0,400,450,483
81,2011,1,494,595,700
82,2011,2,850,978,1150
83,2011,3,1000,1250,1700
84,2015,-1,660,750,860
85,2015,1,600,670,711
86,2015,2,750,850,899
87,2015,3,981,1148,1200
88,2015,-1,775,870,1200
89,2015,2,779,850,923
90,2015,3,994,1200,1200
91,2015,-1,800,900,1200
92,2015,-1,635,730,804
93,2015,1,600,665,700
94,2015,2,750,810,875
95,2016,-1,539,608,679
96,2016,0,420,458,595
97,2016,1,529,579,649
98,2016,2,775,850,950
99,2016,3,950,1075,1220
100,2016,4,1325,1500,1600
101,2016,-1,796,950,1221
102,2016,2,760,850,950
103,2016,3,900,1050,1200
104,2016,4,1338,1488,1625
105,2016,-1,519,559,639
106,2016,1,519,569,639
107,2016,-1,800,950,1250
108,2016,-1,561,619,700
109,2016,0,425,458,578
110,2016,1,559,608,659
111,2016,2,794,868,956
112,2016,3,1000,1050,1200
113,2017,-1,750,900,1050
114,2017,1,700,750,790
115,2017,2,900,970,1050
116,2017,3,1200,1330,1450
117,2017,-1,763,950,1185
118,2017,2,795,950,1000
119,2017,-1,750,900,950
120,2017,2,900,950,950
121,2017,-1,1048,1300,1376
122,2017,-1,750,900,1050
123,2017,1,700,750,795
124,2017,2,900,970,1050
125,2017,3,1215,1350,1450
126,2018,-1,720,865,1000
127,2018,1,660,700,750
128,2018,2,830,900,970
129,2018,3,1150,1200,1300
130,2018,4,1330,1450,1625
131,2018,-1,850,1045,1281
132,2018,3,944,1110,1200
133,2018,-1,855,880,900
134,2018,-1,700,850,993
135,2018,1,660,700,750
136,2018,2,820,900,970
137,2018,3,1200,1240,1300
138,2019,-1,700,800,940
139,2019,1,650,680,700
140,2019,2,800,850,900
141,2019,3,1000,1090,1150
142,2019,-1,900,1050,1183
143,2019,-1,890,995,1163
144,2019,-1,680,760,880
145,2019,1,650,680,700
146,2019,2,800,850,900
147,2019,3,1065,1100,1150
148,2020,-1,680,800,1000
149,2020,1,579,680,739
150,2020,2,880,950,1000
151,2020,3,1150,1210,1300
152,2020,-1,800,910,1100
153,2020,3,813,1000,1100
154,2020,-1,750,865,1244
155,2020,-1,679,799,980
156,2020,1,579,680,739
157,2020,2,890,950,1000
158,2020,3,1170,1230,1300
159,2021,-1,500,700,1080
160,2021,0,368,433,470
161,2021,1,475,575,650
162,2021,2,750,895,1043
163,2021,3,1263,1450,1638
164,2021,4,1675,2000,2350
165,2021,-1,850,1200,1590
166,2021,2,790,900,1150
167,2021,3,1338,1463,1613
168,2021,-1,1000,1163,1478
169,2021,2,950,1000,1075
170,2021,3,1350,1470,1850
171,2021,-1,470,580,713
172,2021,0,390,445,470
173,2021,1,475,575,650
174,2021,2,700,800,900
175,2022,-1,700,850,1150
176,2022,1,600,735,810
177,2022,2,843,1000,1150
178,2022,3,1200,1300,1648
179,2022,4,1625,1900,2150
180,2022,-1,1138,1500,1960
181,2022,3,1219,1370,1613
182,2022,4,1625,2000,2300
183,2022,-1,360,360,378
184,2022,-1,721,825,1100
185,2022,1,650,750,821
186,2022,2,843,1005,1150
187,2022,3,1150,1275,1499
188,2023,-1,750,825,1250
189,2023,1,563,725,765
190,2023,2,750,800,850
191,2023,3,1500,1650,1999
192,2023,4,2000,3125,3575
193,2023,-1,1500,2000,3500
194,2023,-1,731,800,924
195,2023,1,543,688,771
196,2023,2,750,800,850
197,2024,-1,680,850,1050
198,2024,1,500,625,680
199,2024,2,800,880,1000
200,2024,3,1196,1375,1600
201,2024,-1,1173,1500,1813
202,2024,-1,650,800,950
203,2024,1,513,625,685
204,2024,2,800,875,995
205,2025,-1,700,908,1300
206,2025,1,550,635,686
207,2025,2,743,850,963
208,2025,3,1175,1380,1725
209,2025,-1,913,1150,1778
210,2025,-1,653,798,950
211,2025,1,550,630,655
212,2025,2,735,825,950
213,2026,-1,716,875,1100
214,2026,0,340,500,593
215,2026,1,600,700,821
216,2026,2,800,910,1100
217,2026,3,1150,1300,1698
218,2026,4,1975,2500,3250
219,2026,-1,950,1450,1875
220,2026,2,865,1025,1150
221,2026,3,1450,1520,1775
222,2026,4,1995,2500,3250
223,2026,-1,60,250,520
224,2026,-1,1050,1150,1470
225,2026,-1,701,850,1050
226,2026,0,494,538,650
227,2026,1,600,700,819
228,2026,2,800,900,1100
229,2026,3,1100,1270,1500
230,2027,-1,695,920,1450
231,2027,1,474,650,699
232,2027,2,850,925,1100
233,2027,3,1250,1550,1800
234,2027,-1,675,895,1375
235,2027,1,474,650,699
236,2027,2,850,953,1113
237,2027,3,1250,1450,1748
238,2028,-1,776,925,1273
239,2028,2,771,850,996
240,2028,3,1225,1550,2325
241,2028,-1,750,880,1100
242,2028,2,768,850,998
243,2028,3,1131,1398,1850
244,2029,-1,700,850,1300
245,2029,1,550,625,700
246,2029,2,725,800,925
247,2029,3,1150,1600,1998
248,2029,4,1538,2000,2738
249,2029,-1,1180,1650,2600
250,2029,-1,690,798,999
251,2029,1,550,623,700
252,2029,2,725,800,913
253,2029,3,996,1563,1850
254,2030,-1,771,925,1415
255,2030,2,735,800,929
256,2030,3,995,1200,1650
257,2030,4,2375,2900,4063
258,2030,-1,1475,2200,2988
259,2030,4,2325,2725,3850
260,2030,-1,741,840,984
261,2030,2,723,800,923
262,2030,3,925,1100,1295
263,2031,-1,675,750,900
