,PostalCode,MedianRent,bedrooms,Affordability
7,2016,1058.3333333333333,3,3
31,2040,1025.0,3,3
33,2042,1059.3333333333333,3,3
35,2044,970.0,3,3
36,2046,941.6666666666666,3,3
37,2047,972.5,3,3
39,2049,950.0,3,3
43,2062,950.0,3,3
44,2064,950.0,3,3
46,2066,913.3333333333334,3,3
50,2071,1019.0,3,3
51,2072,975.0,3,3
52,2073,950.0,3,3
53,2074,910.0,3,3
54,2075,950.0,3,3
55,2076,837.5,3,3
56,2077,765.0,3,3
57,2086,1001.5,3,3
58,2087,1000.0,3,3
68,2100,1057.5,3,3
69,2101,974.0,3,3
73,2111,937.5,3,3
74,2112,820.0,3,3
75,2113,960.0,3,3
76,2114,825.0,3,3
77,2115,707.5,3,2
78,2116,665.0,3,1
79,2117,690.0,3,2
80,2118,726.25,3,3
81,2119,920.0,3,3
82,2120,745.0,3,3
83,2121,830.0,3,3
84,2122,770.0,3,3
85,2125,750.0,3,3
86,2126,850.0,3,3
87,2127,965.0,3,3
88,2130,1050.0,3,3
89,2131,803.3333333333334,3,3
90,2133,848.0,3,3
91,2134,974.0,3,3
92,2135,891.6666666666666,3,3
93,2136,750.0,3,3
94,2137,998.3333333333334,3,3
95,2138,1070.0,3,3
96,2140,820.0,3,3
97,2141,758.75,3,3
98,2142,648.75,3,1
99,2143,600.0,3,1
100,2144,653.3333333333334,3,1
101,2145,630.75,3,1
102,2146,590.0,3,1
103,2147,550.0,3,1
104,2148,547.0,3,1
105,2150,706.6666666666666,3,2
106,2151,683.25,3,2
107,2152,655.0,3,1
108,2153,718.75,3,2
109,2154,742.5,3,3
110,2155,717.5,3,2
111,2160,650.0,3,1
112,2161,579.0,3,1
113,2162,610.0,3,1
114,2163,555.0,3,1
115,2164,570.0,3,1
116,2165,557.5,3,1
117,2166,515.0,3,1
118,2167,606.6666666666666,3,1
119,2168,500.0,3,1
120,2170,572.0,3,1
121,2171,625.0,3,1
122,2173,597.5,3,1
123,2174,688.0,3,2
124,2176,600.0,3,1
125,2177,577.5,3,1
126,2179,630.0,3,1
127,2190,670.0,3,1
128,2192,750.0,3,3
129,2193,850.0,3,3
130,2194,755.0,3,3
131,2195,677.5,3,2
132,2196,725.0,3,3
133,2197,650.0,3,1
134,2198,659.0,3,1
135,2199,630.0,3,1
136,2200,652.5,3,1
137,2203,835.0,3,3
138,2204,893.3333333333334,3,3
139,2205,975.0,3,3
140,2206,844.0,3,3
141,2207,800.0,3,3
142,2208,768.0,3,3
143,2209,750.0,3,3
144,2210,680.0,3,2
145,2211,685.0,3,2
146,2212,700.0,3,2
147,2213,655.0,3,1
148,2216,821.6666666666666,3,3
149,2217,883.3333333333334,3,3
150,2218,662.5,3,1
151,2219,850.0,3,3
152,2220,776.6666666666666,3,3
153,2221,767.5,3,3
154,2222,730.0,3,3
155,2223,740.0,3,3
156,2224,905.0,3,3
157,2226,750.0,3,3
158,2227,874.3333333333334,3,3
159,2228,759.3333333333334,3,3
160,2229,846.6666666666666,3,3
161,2230,991.6666666666666,3,3
162,2232,828.75,3,3
163,2233,802.5,3,3
164,2234,785.0,3,3
165,2250,567.5,3,1
166,2251,620.0,3,1
167,2256,570.0,3,1
168,2257,615.0,3,1
169,2258,525.0,3,1
170,2259,526.6666666666666,3,1
171,2260,715.0,3,2
172,2261,572.5,3,1
173,2262,500.0,3,1
174,2263,502.5,3,1
175,2264,513.3333333333334,3,1
176,2265,517.5,3,1
177,2280,595.0,3,1
178,2281,579.0,3,1
179,2282,607.5,3,1
180,2283,521.5,3,1
181,2284,576.5,3,1
182,2285,585.0,3,1
183,2287,590.0,3,1
184,2289,650.0,3,1
185,2290,605.0,3,1
186,2291,799.0,3,3
187,2292,630.0,3,1
188,2293,741.6666666666666,3,3
189,2294,647.5,3,1
190,2295,604.0,3,1
191,2296,640.0,3,1
192,2298,600.0,3,1
193,2299,565.0,3,1
194,2300,733.3333333333334,3,3
195,2303,690.0,3,2
196,2304,610.0,3,1
197,2305,650.0,3,1
198,2307,579.0,3,1
199,2315,592.5,3,1
200,2317,530.0,3,1
201,2318,550.0,3,1
202,2319,530.0,3,1
203,2320,505.0,3,1
204,2321,521.6666666666666,3,1
205,2322,525.0,3,1
206,2323,522.5,3,1
207,2324,500.0,3,1
208,2325,480.0,3,1
209,2326,467.5,3,1
210,2327,480.0,3,1
